# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 9.698900000000003274e+01 4.645364275056561382e+03 2.700793183172449829e+01 5.524130633685550018e-01 9.606245386642268957e-02 2.783114976382100636e+01 3.696457365080366930e+00 1.377541007590085620e+01 4.692107752044261360e+03 4.914813074761845171e+06 1.457090469993799964e+01 6.702238679523420117e-01
0.000000000000000000e+00 9.922200000000003683e+01 9.380754989552151528e+03 2.700793183172449829e+01 6.206576461100483666e-01 3.367834293839423038e-02 4.758428200417863074e+00 1.701816308949828827e+00 3.599548880576595167e+00 1.589546174219630757e+03 3.635341432983543491e+05 2.216226028891836819e+01 1.734273643297130185e+00
0.000000000000000000e+00 7.688100000000002865e+01 2.511737660350372607e+03 3.601057577563265966e+01 9.024895975564816153e-01 1.041708533421327049e-01 1.628991504247434023e+03 3.604353303777417139e+00 6.605775889330386974e+01 7.677454205112555428e+03 4.313649742597532272e+08 6.401452412111106050e+00 6.382293822755177315e-01
0.000000000000000000e+00 7.292300000000005866e+01 2.250660985977041491e+03 3.601057577563268097e+01 6.896615315400114188e-01 1.033956390884485932e-01 1.351827636909424473e+04 3.928130325709611625e+00 1.585457742224696460e+02 6.106756471282691564e+03 3.133629020527523518e+09 7.067800928941003313e+00 5.264335299370567212e-01
0.000000000000000000e+00 6.934000000000003183e+01 9.038654519683652325e+03 3.601057577563265966e+01 4.354641730688957324e-01 9.233122777501009959e-02 2.720154884095655845e+01 3.802319920730735436e+00 1.851026617408752628e+01 4.813883235166500526e+03 5.226260207114530727e+06 2.636800498444892682e+01 8.910806147291382429e-01
0.000000000000000000e+00 7.174400000000002819e+01 2.079610751042789616e+03 4.501321971954082812e+01 8.830280765021415457e-01 1.160221905790795316e-01 1.481496678110105449e+02 3.728897404356355416e+00 1.747387054376497062e+01 5.956625535690310244e+03 2.813211635836607218e+07 6.152208566290749303e+00 4.652497770381785469e-01
0.000000000000000000e+00 7.174400000000002819e+01 4.645364275056561382e+03 2.700793183172448408e+01 5.439211177525630214e-01 1.246817995659412620e-01 2.786014755252545605e+00 3.651505037197435577e+00 2.099870117759414256e+01 1.581691550395261629e+03 7.739119350733161264e+04 1.452663780303809382e+01 6.825570955951956176e-01
0.000000000000000000e+00 7.792500000000006821e+01 3.763105168553579460e+03 2.250660985977041264e+02 1.017785675331712714e+00 2.759453431338154683e-01 6.309463189325170696e-02 3.965823629745462764e+00 1.003398603414579426e+00 9.105809664040543794e+02 3.329741606762396486e+02 1.023153988536158465e+01 5.524715136174739305e-01
0.000000000000000000e+00 6.487100000000003774e+01 8.642538186151846276e+02 4.501321971954083523e+01 2.117052629906816197e+00 1.538158346943341304e-02 1.468844531010257128e+02 1.939623832012021598e+00 6.560611631417492262e+00 1.589449782283033710e+04 2.938963804863021970e+08 2.258983642599656783e+00 8.856615118424180366e-01
0.000000000000000000e+00 6.795400000000006457e+01 4.699380138720009199e+03 2.700793183172448408e+01 5.056380745475018701e-01 8.896574871481242874e-02 5.078643469510391917e+00 3.614587071292463261e+00 9.226449362396145659e+00 3.901559435235845740e+03 7.486075422478931723e+05 1.458234131329827754e+01 6.649924601257475310e-01
0.000000000000000000e+00 7.939000000000004320e+01 1.431420387081401714e+03 3.601057577563265255e+01 1.595279914933261711e+00 8.716524224216289918e-01 6.490208978699423703e+00 2.279900083555389312e+00 7.535096181867842802e+00 1.011430250703821621e+01 9.837301895964542098e+01 4.072623535051243415e+00 8.903990788845427273e-01
0.000000000000000000e+00 7.532400000000006912e+01 1.314386015810594245e+03 2.790819622611530235e+02 2.887449414910716605e+00 2.969255724380884809e-01 6.964425281488985375e-02 3.108560565320674041e+00 3.888790458877513512e-01 9.695402210329041282e+02 3.528574378962980518e+02 1.645823778601385401e+00 2.480261207782809563e-01
0.000000000000000000e+00 6.707200000000005957e+01 3.475020562348524891e+03 7.202115155126531931e+01 9.074512140369748181e-01 1.345641285562653722e-01 6.610757212869150523e-02 3.051703849586523187e+00 8.372420464451812983e-01 1.682721716608781435e+03 1.396443361975696462e+03 9.913389577942034236e+00 5.503288853319325824e-01
0.000000000000000000e+00 7.379800000000005866e+01 4.987464744925063314e+03 1.620475909903470040e+02 4.333732349655024407e+00 2.431396198375361251e-01 1.202991636565186317e-01 1.838654679874476949e+00 2.540088109418578433e-01 9.904680866119252869e+02 5.326801875700642768e+02 9.874871359656173908e+00 1.213186093619534889e+00
0.000000000000000000e+00 7.922800000000006548e+01 3.493025850236341284e+03 2.700793183172449829e+01 7.240464937159558634e-01 1.038513950656118207e-01 3.810397266650407744e+01 3.460216911913247095e+00 1.052870522523998709e+01 4.473132893572215835e+03 5.584986753813484684e+06 1.078771849432829910e+01 5.977421885365213905e-01
