# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
4.090505438694379450e+02 1.141420600511177064e+01 1.538051703128148256e+04 1.665489129623027111e+03 2.345870882037153437e+37 1.635891661681712204e+35 3.787112219070739229e+03 1.325889394183377226e+04 4.928105912906009128e+35 2.312948739524910536e+37
4.096896720574768551e+02 1.140132005945301508e+01 1.821835046115536170e+04 1.844541714729615023e+03 2.941687352490840842e+37 1.764155252310767371e+35 3.424005579999713518e+03 1.663888659588526571e+04 4.510269862927418654e+35 2.914226206384674300e+37
4.102532097772409543e+02 1.138992811136560768e+01 3.075603259370503292e+04 2.268666273864864706e+03 5.585592589481792035e+37 3.620486000878598861e+35 2.554850321903991062e+04 7.476195648529985192e+03 4.595017678336559731e+37 1.026779771154018234e+37
4.108056122087297695e+02 1.137881984199854557e+01 3.884740891173531418e+04 2.453720621600749382e+03 7.436183742326568972e+37 6.885103871266485105e+35 3.858633223736197397e+04 2.714797295974086410e+03 7.434358174396282835e+37 7.067660664295070799e+35
4.114743082547577160e+02 1.136543788183005610e+01 3.892943300100192573e+04 2.369695944790933936e+03 8.118218623581873789e+37 9.064377600529041998e+35 9.810881311316792562e+03 3.148824763447607256e+04 1.492779511997436463e+37 6.716082887589727067e+37
4.120988996889170721e+02 1.135296465104890906e+01 3.885341067436510639e+04 2.438716215027601720e+03 9.191497298293181883e+37 1.358135652472480085e+36 3.839427583322577993e+04 2.897851056166924536e+03 9.043786400026314504e+37 2.835244635141142660e+36
4.126304832342733562e+02 1.134236466673045385e+01 3.876038335361129430e+04 2.519740010522770262e+03 9.593645582863464077e+37 1.639440365939561273e+36 3.860733840656485700e+04 2.672784957569210746e+03 9.592394480490729283e+37 1.651951389666903301e+36
4.131839171218006186e+02 1.133134162119593924e+01 3.827924204949790146e+04 2.971872795261268948e+03 9.949057424789599977e+37 2.139218750211132515e+36 3.788212542219438910e+04 3.368989422564777669e+03 9.898849910712457695e+37 2.641293890982552085e+36
4.137181567044878534e+02 1.132071954007931680e+01 3.789412894745293306e+04 3.335979728103780872e+03 9.768453644748638244e+37 2.148792825234579401e+36 3.465917889027524507e+04 6.570929785281479781e+03 9.594161151748963038e+37 3.891717755231339726e+36
4.142270601571381121e+02 1.131061821187932459e+01 3.749201085129189596e+04 3.688083135687767935e+03 8.669226983783922916e+37 2.772373939551444470e+36 3.692284369528258685e+04 4.257250291697080684e+03 8.519741626656318028e+37 4.267227510827486852e+36
4.147516952504265646e+02 1.130026449066556538e+01 3.694985162711392331e+04 4.166223558486410184e+03 7.253153747645161839e+37 3.166481614737741307e+36 3.640469152162170212e+04 4.711383663978627737e+03 7.156205211012339274e+37 4.135966981065957514e+36
4.152680333188359327e+02 1.129011400312792901e+01 3.666076672713711741e+04 4.412295826286543161e+03 6.069668317183355666e+37 3.022957004787682726e+36 3.592154962996509857e+04 5.151512923458558362e+03 5.939699291994887250e+37 4.322647256672356261e+36
4.157939896694841764e+02 1.127974421764371904e+01 3.651872501157804800e+04 4.495320209324853749e+03 5.329724290955497515e+37 2.949793008529572744e+36 2.870342977449413956e+04 1.231061544640876309e+04 4.073551508824053417e+37 1.551152082984400723e+37
4.163075046316953376e+02 1.126960928313602750e+01 3.622463864274349908e+04 4.725387776780258719e+03 4.819994434622725226e+37 3.142974985322288645e+36 3.555344152203656995e+04 5.396584897487192393e+03 4.744338939589281642e+37 3.899529935656728610e+36
4.168142986429502912e+02 1.125967717050603234e+01 3.569648353136774676e+04 5.176520267747240723e+03 4.342543447517064916e+37 3.483666789643529479e+36 2.830031138456134431e+04 1.257269241455363954e+04 3.334200453936947619e+37 1.356709672544470540e+37
4.173198749275607042e+02 1.124979407012285648e+01 3.513731931307366176e+04 5.639656283972707570e+03 3.962521829740526675e+37 3.696739096566192949e+36 3.474120297954170383e+04 6.035772617504667323e+03 3.917855526365850337e+37 4.143402130312956921e+36
4.178255881751302354e+02 1.123992422045469119e+01 3.439310074704381259e+04 6.322856929938165194e+03 3.613805665515044002e+37 3.997599030067883193e+36 3.401699028894276125e+04 6.698967388039216530e+03 3.574001461014888027e+37 4.395641075069442941e+36
4.183339576118379455e+02 1.123001854789559140e+01 3.449212983042672568e+04 6.181815508150257301e+03 3.323959602496387837e+37 3.641980924749119016e+36 3.368589305056117882e+04 6.988052288015809609e+03 3.247729791911422795e+37 4.404279030598768845e+36
4.188423606035451030e+02 1.122013813009298033e+01 3.437409516538430762e+04 6.258838128559237703e+03 3.044615055258795452e+37 3.453485429252908960e+36 3.407700791523534281e+04 6.555925378708205244e+03 3.015848097055102635e+37 3.741155011289837126e+36
